db_id,artistName,trackName,albumName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
214,OR3O,Funked Up,Funked Up,0.706,0.924,1,-5.578,1,0.144,0.0902,5.04E-06,0.301,0.601,145.007
215,NerdOut,Imposter Imperceptible (Among Us),Imposter Imperceptible (Among Us),0.795,0.711,9,-6.422,0,0.258,0.096,0.0,0.198,0.675,110.005
216,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
217,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
218,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
219,Will Wood and the Tapeworms,Dr. Sunshine Is Dead,SELF-iSH,0.324,0.869,0,-4.429,0,0.0638,0.277,0.0453,0.213,0.264,129.823
220,OR3O,Greedy,Greedy,0.655,0.86,0,-3.538,0,0.176,0.136,0.0,0.955,0.795,117.433
221,NyxTheShield,Overwrite,The Best of Underverse,0.318,0.881,8,-9.005,1,0.118,0.000816,0.0118,0.738,0.144,179.912
222,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
223,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
224,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
225,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
226,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
227,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
228,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
229,NyxTheShield,Overwrite,The Best of Underverse,0.318,0.881,8,-9.005,1,0.118,0.000816,0.0118,0.738,0.144,179.912
230,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
231,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
232,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
233,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
234,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
235,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
236,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
237,NyxTheShield,Overwrite,The Best of Underverse,0.318,0.881,8,-9.005,1,0.118,0.000816,0.0118,0.738,0.144,179.912
238,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
239,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
240,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
241,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
242,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
243,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
244,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
245,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
246,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
247,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
248,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
249,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
250,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
251,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
252,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
253,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
254,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
255,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
256,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
257,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
258,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
259,WHOKILLEDXIX,CUM,CUM,0.727,0.707,10,-8.001,0,0.121,0.0142,0.000321,0.229,0.666,136.046
260,Brooke Candy,Cum (feat. Iggy Azalea),SEXORCISM,0.942,0.893,6,-7.796,1,0.216,0.182,0.000263,0.135,0.682,136.001
261,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
262,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
263,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
264,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
265,NyxTheShield,Overwrite,The Best of Underverse,0.318,0.881,8,-9.005,1,0.118,0.000816,0.0118,0.738,0.144,179.912
266,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
267,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
268,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
269,Gawr Gura,REFLECT,REFLECT,0.646,0.813,4,-9.007,0,0.0863,0.0275,0.0,0.115,0.679,125.075
270,Bella Poarch,Build a Bitch,Build a Bitch,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77E-05,0.347,0.866,102.931
271,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
272,Patrick Page,Why We Build the Wall,Hadestown (Original Broadway Cast Recording),0.563,0.457,5,-7.19,1,0.0353,0.586,0.000229,0.201,0.323,80.318
273,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
274,The Living Tombstone,Discord,Discord,0.676,0.835,8,-4.382,0,0.044,0.00682,3.04E-05,0.081,0.8,104.987
275,Gawr Gura,REFLECT,REFLECT,0.646,0.813,4,-9.007,0,0.0863,0.0275,0.0,0.115,0.679,125.075
276,NyxTheShield,Overwrite,The Best of Underverse,0.318,0.881,8,-9.005,1,0.118,0.000816,0.0118,0.738,0.144,179.912
277,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
278,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,0.576,0.633,9,-8.903,0,0.0517,0.578,0.0,0.118,0.766,134.901
279,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
280,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
281,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
282,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
283,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
284,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
285,The Living Tombstone,Discord,Discord,0.676,0.835,8,-4.382,0,0.044,0.00682,3.04E-05,0.081,0.8,104.987
286,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,0.576,0.633,9,-8.903,0,0.0517,0.578,0.0,0.118,0.766,134.901
287,Gawr Gura,REFLECT,REFLECT,0.646,0.813,4,-9.007,0,0.0863,0.0275,0.0,0.115,0.679,125.075
288,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
289,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
290,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
291,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
292,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
293,The Living Tombstone,Discord,Discord,0.676,0.835,8,-4.382,0,0.044,0.00682,3.04E-05,0.081,0.8,104.987
294,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,0.576,0.633,9,-8.903,0,0.0517,0.578,0.0,0.118,0.766,134.901
295,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
296,Gawr Gura,REFLECT,REFLECT,0.646,0.813,4,-9.007,0,0.0863,0.0275,0.0,0.115,0.679,125.075
297,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
298,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
299,NyxTheShield,Overwrite,The Best of Underverse,0.318,0.881,8,-9.005,1,0.118,0.000816,0.0118,0.738,0.144,179.912
300,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
301,The Living Tombstone,Discord,Discord,0.676,0.835,8,-4.382,0,0.044,0.00682,3.04E-05,0.081,0.8,104.987
