db_id,artistName,albumName,trackName,id,albumID,uri,duration_ms
13568,DEV,The Night The Sun Came Up,In The Dark,1pbHy9VBpSyZh56xuujZz0,7dlFcF17qY2IGoaAsdwRnt,spotify:track:1pbHy9VBpSyZh56xuujZz0,226227
13569,Corey Hawkins,In The Heights (Original Motion Picture Soundtrack),Blackout,0e2SZBDwY2ods2rkb84nmW,0F3HOT0E0Jj2MSnPm6tq4n,spotify:track:0e2SZBDwY2ods2rkb84nmW,200118
13570,Amber Gray,Hadestown (Original Broadway Cast Recording),How Long?,3nOSvfxdOeIAaUYO0KMYox,1J1yxODbNlqKbwRqJxYJUP,spotify:track:3nOSvfxdOeIAaUYO0KMYox,221159
13571,ZYTOKINE,POP ICON,Ten Desires feat. aki,6GY9PFSq2Ee2SNdGA9anZC,2THiFuRv65Ekt6vyggouIY,spotify:track:6GY9PFSq2Ee2SNdGA9anZC,314173
13572,ZUN,東方バイオリンロック 地-CHI- II,廃獄ララバイ(東方地霊殿)VIOLIN ROCK,2tjR0vChtNdALSYGmFl8V6,6Q13nvTCdNQ2mfhLrQeIwZ,spotify:track:2tjR0vChtNdALSYGmFl8V6,219000
13573,RichaadEB,Bullet Hell,Necrofantasia,5g2E6x9BUxfdTtXaSlHfh4,1XEJO3GnVcoPClqL2EfgVv,spotify:track:5g2E6x9BUxfdTtXaSlHfh4,194171
13574,Pentatonix,Pentatonix (Deluxe Version),If I Ever Fall In Love (feat. Jason Derulo),3vaWsG3oKZt0bSra2p5c5R,6qf9tE8pNRW0kX1Cucrixr,spotify:track:3vaWsG3oKZt0bSra2p5c5R,194053
13575,Patrick Page,Hadestown (Original Broadway Cast Recording),"Papers (""You're not from around here, son..."") [Intro]",1oVH404oz30kMDH3HgUooq,1J1yxODbNlqKbwRqJxYJUP,spotify:track:1oVH404oz30kMDH3HgUooq,113818
13576,Leslie Grace,In The Heights (Original Motion Picture Soundtrack),Alabanza,5rBlo5Qzr39l4BOKMNSDtC,0F3HOT0E0Jj2MSnPm6tq4n,spotify:track:5rBlo5Qzr39l4BOKMNSDtC,198103
13577,Reeve Carney,Hadestown (Original Broadway Cast Recording),Come Home with Me,15r85VRFlKo2w8a5ymikr7,1J1yxODbNlqKbwRqJxYJUP,spotify:track:15r85VRFlKo2w8a5ymikr7,107650
13578,Toby Fox,UNDERTALE Soundtrack,It's Raining Somewhere Else,5z4vmar50qPl80GjIrPBXm,2M2Ae2SvZe3fmzUtlVOV5Z,spotify:track:5z4vmar50qPl80GjIrPBXm,170312
